DISTRICTS,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER THEFTS,FORGERY,COUNTERFEITING,sum
"FEROZPUR, PUNJAB",0.03463203463376147,0.034710743801805895,0.0032270759548351613,0.018811491537273,0.0,0.018811491537273,0.041243604881724495,0.0006296733564766047,0.0027548209366512616,0.0020464384099263756,0.08154269972487733,0.14395907118520754,0.06265249901955992,0.08130657222074407,0.0,0.0122786304573544,0.10861865407210412,0.003935458480458119,0.005037386855118623,0.2538370720672346,0.004486422667788371,0.008107044470559151,0.0021251475801746566,0.029830775283878046,0.0,0.08004722549897543,0.0,0.0,0.0,1.0346320346337614
"FIROZABAD, UTTAR PRADESH",0.047932685334985334,0.05057304512038707,0.009458871320872387,0.014391411578154588,0.0,0.010735528798367573,0.10898012477469217,0.004729435658405147,0.0002901494268511638,0.02628753808148956,0.03095894385566186,0.1658203975059653,0.09601044540086326,0.063020455519872,0.04976062672487885,0.0211518932253303,0.04192659219096082,0.0002901494268511638,0.0029014942697302656,0.12804294211483278,0.01906281735232689,0.024778761063000893,0.01392717249616763,0.04160742781549388,0.0,0.06850427968955251,0.006789496589292135,0.0,0.0,1.0479326853349853
"G. R. P. RAIPUR, CHHATTISGARH",0.0030581039788083676,0.0,0.0,0.0,0.0,0.0,0.01529051987263511,0.0,0.0,0.01376146789393429,0.01529051987263511,0.44342507639204515,0.006116207957616735,0.0,0.006116207957616735,0.0030581039788083676,0.00152905197870082,0.0,0.0,0.01834862385144348,0.00152905197870082,0.024464831809060218,0.0,0.006116207957616735,0.0,0.007645259936317555,0.4373088685628688,0.0,0.0,1.0030581039788085
"G. R. P., ASSAM",0.020881670534697812,0.0,0.0,0.006960556834071738,0.0,0.002320185600529713,0.04640371230293765,0.013921113700626075,0.0,0.004640371233542024,0.009280742467084048,0.433874709995112,0.030162413001781862,0.0,0.023201856135227523,0.0,0.004640371233542024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020881670534697812,0.40371229696084754,0.0,0.0,1.020881670534698
"G. R. P., HARYANA",0.02653061224058309,0.006122448985189505,0.0,0.0030612244854518952,0.0,0.0010204081570553936,0.008163265299300292,0.0020408163283965014,0.005102040813848397,0.03163265305443149,0.004081632656793003,0.3826530612529155,0.09285714284918369,0.0,0.008163265299300292,0.0030612244854518952,0.008163265299300292,0.0,0.0,0.018367346941282798,0.008163265299300292,0.03673469386827989,0.0,0.0,0.0,0.09081632652078718,0.2897959184037318,0.0,0.0,1.026530612240583
"G. R. P., HIMACHAL PRADESH",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5
"G. R. P., PUNJAB",0.04198473284033565,0.0,0.0038167938702872795,0.011450381664296952,0.0,0.0038167938702872795,0.030534351122603578,0.0,0.06488549616892955,0.0,0.02290076338202902,0.35877862594440885,0.06870229009265194,0.0,0.0,0.0,0.011450381664296952,0.0,0.0,0.06106870229864228,0.0,0.02290076338202902,0.0,0.0,0.0,0.04961832063434532,0.290076335905192,0.0,0.0,1.0419847328403358
"G. R. P., TRIPURA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705896885812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823505190306,0.0,0.23529411793771624,0.0,0.0,0.0,0.05882352907266435,0.11764705896885812,0.0,0.0,1.0
"G. R. P., UTTAR PRADESH",0.003509182360743126,0.0017545911795527535,0.000818809217452142,0.0017545911795527535,0.0,0.0007018364728036725,0.009123874136622032,0.003509182360743126,0.0005848637265175845,0.0031582641251600985,0.0002339454909345575,0.47502631891438174,0.013334892970168832,0.0,0.004678909813778295,0.0012867001993212572,0.0030412913788740105,0.0,0.0,0.0028073458879394535,0.00011697274464846953,0.014972511405073115,0.0,0.0,0.0,0.0007018364728036725,0.4616914258508687,0.0,0.0007018364728036725,1.0035091823607432
"G.R.P, PUNJAB",0.06500847936057043,0.020915771622215525,0.009044657999437586,0.005087620125178271,0.0,0.005087620125178271,0.010175240250356541,0.0016958733724213985,0.015828151497037254,0.007348784627016186,0.0039570378742593134,0.328434143563523,0.05144149236537108,0.276992651198152,0.009044657999437586,0.006218202376097229,0.10514414926423638,0.01808931599887517,0.0016958733724213985,0.09440361786863516,0.014132278124615856,0.015262860375534813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0650084793605703
