DISTRICTS,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER THEFTS,FORGERY,COUNTERFEITING,sum
"TEHRI GARHWAL, UTTARAKHAND",6.857142857,7.285714286,1.285714286,5.0,0.0,4.0,13.85714286,0.071428571,0.0,2.571428571,14.28571429,24.14285714,4.357142857,19.07142857,10.57142857,4.285714286,8.642857143,0.428571429,1.214285714,14.85714286,2.785714286,3.214285714,0.714285714,6.0,0.0,14.57142857,0.714285714,0.0,0.0,170.78571428799998
"THANE COMMR., MAHARASHTRA",114.0714286,79.14285714,3.214285714,116.7857143,0.0,86.28571429,254.7142857,30.0,24.78571429,351.7857143,1287.714286,2432.285714,1081.857143,1242.5,317.2857143,105.0,678.7142857,20.5,21.78571429,1411.0,8.357142857,233.2142857,40.21428571,298.7142857,0.0,394.0,107.9285714,0.071428571,4.285714286,10746.214285848
"THANE RURAL, MAHARASHTRA",133.7142857,48.28571429,9.357142857,77.35714286,0.0,66.78571429,95.0,41.07142857,13.42857143,167.2142857,610.7857143,894.5,347.0714286,521.4285714,286.5,46.42857143,227.7857143,7.714285714,26.07142857,728.2142857,6.928571429,142.0,33.28571429,118.8571429,0.0,615.9285714,26.0,0.0,0.642857143,5292.357142873
"THANJAVUR, TAMIL NADU",60.85714286,87.5,0.285714286,11.14285714,0.0,10.0,93.42857143,2.428571429,7.285714286,52.35714286,185.0,548.0,180.2857143,350.7142857,124.0714286,4.071428571,44.21428571,2.642857143,28.35714286,720.5714286,3.5,80.21428571,6.928571429,26.28571429,0.0,519.9285714,17.0,0.0,0.0,3167.0714286039993
"THENI, TAMIL NADU",32.14285714,63.28571429,0.571428571,11.85714286,0.0,10.71428571,74.71428571,1.714285714,0.071428571,23.0,101.4285714,247.5,52.71428571,183.5714286,75.71428571,2.928571429,103.3571429,1.642857143,16.78571429,570.2142857,4.642857143,45.92857143,11.71428571,46.71428571,0.0,273.7142857,11.21428571,0.0,0.0,1967.8571428510002
"THIRUNELVELI CITY, TAMIL NADU",1.285714286,7.571428571,0.071428571,1.285714286,0.0,0.428571429,1.0,0.0,0.0,5.214285714,8.428571429,14.71428571,7.642857143,0.0,0.0,0.0,4.5,0.0,0.214285714,0.142857143,0.0,0.428571429,0.0,1.357142857,0.0,35.57142857,7.071428571,0.0,0.0,96.92857142300001
"THIRUNELVELI RURAL, TAMIL NADU",74.21428571,169.2142857,1.214285714,41.35714286,0.0,41.35714286,103.4285714,1.571428571,0.285714286,44.64285714,172.1428571,391.0714286,46.0,345.0714286,9.857142857,7.0,121.9285714,5.0,57.0,912.1428571,4.785714286,93.14285714,15.92857143,101.5714286,0.0,295.3571429,0.0,0.0,0.0,3055.285714254
"THIRUNELVELI URBAN, TAMIL NADU",15.92857143,56.35714286,0.142857143,5.428571429,0.0,5.428571429,23.14285714,0.928571429,0.214285714,17.92857143,42.92857143,165.5714286,36.42857143,129.1428571,10.71428571,2.285714286,31.92857143,1.785714286,4.928571429,96.07142857,1.142857143,6.785714286,14.57142857,10.64285714,0.0,69.42857143,0.0,0.0,0.0,749.8571428440001
"THIRUNELVELI, TAMIL NADU",7.714285714,26.07142857,0.0,8.214285714,0.0,2.642857143,6.714285714,0.285714286,0.0,7.642857143,36.14285714,20.64285714,6.5,0.0,0.0,0.357142857,19.71428571,0.0,5.357142857,4.142857143,0.357142857,6.714285714,0.0,10.5,0.0,171.2142857,14.14285714,0.142857143,1.071428571,356.285714256
"THIRUVALLUR, TAMIL NADU",31.64285714,39.5,1.214285714,14.57142857,0.0,13.42857143,36.85714286,2.785714286,0.642857143,13.5,96.14285714,192.7857143,32.14285714,150.8571429,113.7857143,3.5,37.78571429,1.5,11.0,558.4285714,7.142857143,37.85714286,8.357142857,21.57142857,0.0,367.9285714,9.785714286,0.0,0.214285714,1804.9285714430002
"THIRUVANNAMALAI, TAMIL NADU",40.78571429,48.14285714,0.5,21.92857143,0.0,19.64285714,82.71428571,1.5,0.785714286,8.642857143,108.9285714,289.8571429,70.35714286,207.5714286,158.6428571,4.928571429,52.71428571,2.5,23.64285714,663.2857143,3.357142857,24.64285714,13.0,25.21428571,0.0,409.5714286,11.92857143,0.5,0.0,2295.285714315
"THIRUVARUR, TAMIL NADU",26.21428571,38.78571429,0.5,7.285714286,0.0,7.0,39.85714286,2.0,0.571428571,12.92857143,84.92857143,182.7857143,43.5,130.1428571,47.42857143,2.785714286,20.5,1.0,23.21428571,630.7142857,2.5,36.92857143,7.571428571,11.0,0.0,221.1428571,9.142857143,0.0,0.0,1590.428571347
"THOOTHUGUDI, TAMIL NADU",71.57142857,133.6428571,0.642857143,25.07142857,0.0,22.57142857,63.42857143,3.0,0.0,40.07142857,191.6428571,429.6428571,75.92857143,337.5714286,33.71428571,11.78571429,93.35714286,3.285714286,30.21428571,561.5,2.571428571,33.07142857,68.14285714,51.64285714,0.0,370.3571429,16.14285714,5.642857143,0.214285714,2676.4285713570007
"THOUBAL, MANIPUR",26.71428571,55.0,0.642857143,13.85714286,0.0,11.14285714,71.71428571,0.214285714,9.071428571,0.857142857,10.14285714,49.35714286,27.21428571,19.5,16.14285714,7.428571429,24.42857143,0.285714286,9.928571429,80.42857143,0.0,10.78571429,0.142857143,8.714285714,0.0,18.92857143,2.642857143,0.0,0.214285714,475.499999993
"THRISSUR COMMR., KERALA",3.785714286,4.0,4.071428571,14.71428571,0.0,9.285714286,5.0,1.428571429,1.142857143,7.928571429,26.5,45.0,14.0,23.28571429,98.92857143,3.428571429,125.6428571,0.142857143,2.642857143,81.71428571,0.071428571,38.28571429,5.5,38.0,0.0,246.1428571,7.714285714,0.285714286,0.642857143,809.2857142030001
"THRISSUR RURAL, KERALA",5.642857143,12.57142857,4.142857143,33.07142857,0.0,19.5,6.714285714,1.142857143,2.642857143,12.92857143,51.35714286,63.92857143,17.28571429,34.78571429,160.9285714,3.5,116.8571429,0.714285714,10.57142857,200.2142857,0.571428571,98.5,6.5,118.9285714,0.0,1101.285714,11.85714286,0.0,0.857142857,2096.999999698
"THRISSUR, KERALA",27.71428571,35.5,16.0,29.28571429,0.0,29.28571429,27.28571429,9.571428571,12.35714286,51.71428571,196.5714286,310.3571429,114.0714286,196.2857143,465.7857143,19.78571429,289.9285714,2.642857143,21.07142857,894.5,1.571428571,136.0714286,16.07142857,202.5714286,0.0,5.214285714,0.0,0.0,0.0,3111.2142858790007
